FromNodeId	ToNodeId	Cluster
157697	626	22
157697	1592	22
131074	799	178
131074	801	178
131074	802	178
131074	813	178
131074	819	178
131074	825	178
131074	843	178
131074	849	178
131074	865	178
131074	881	178
131074	964	178
131074	1041	178
131074	1056	178
131074	1243	178
131074	2009	178
131074	2274	178
131074	3932	178
51206	345	346
51206	419	346
51206	1191	346
51206	1196	346
51206	1587	346
51206	1878	346
51206	1906	346
51206	2307	346
51206	2944	346
51206	4112	346
51206	4368	346
51206	4381	346
51206	4394	346
51206	4415	346
112647	697	64
112647	698	64
73736	1041	413
73736	1056	413
73736	1148	413
73736	1243	413
73736	2009	413
73736	2274	413
73736	3932	413
18441	1906	241
18441	2307	241
18441	4112	241
18441	4368	241
18441	4381	241
18441	4394	241
18441	4415	241
83978	254	27
83978	2409	27
2062	32182	119
2062	82603	119
2062	82605	119
2062	107681	119
2062	137088	119
2062	143917	119
2062	143919	119
2062	158833	119
2062	183335	119
2062	200553	119
2062	213882	119
2062	213884	119
2062	219558	119
2062	219559	119
2062	219564	119
2062	219565	119
2062	274485	119
2062	301429	119
2062	301431	119
2062	316659	119
4112	449	432
4112	531	432
4112	725	432
4112	1841	432
4112	1911	432
4112	1927	432
4112	2642	432
4112	3839	432
4112	774	432
4112	995	432
4112	998	432
4112	2936	432
4112	5086	432
4112	5638	432
4112	5640	432
4112	5641	432
4112	5644	432
4112	5645	432
4112	5646	432
4112	5661	432
4112	5663	432
4112	5664	432
4112	6008	432
4112	6125	432
4112	6126	432
4112	23554	432
4112	23555	432
4112	23556	432
4112	23557	432
4112	23558	432
4112	23561	432
4112	23562	432
4112	30105	432
4112	31091	432
4112	64292	432
4112	64298	432
4112	158368	432
4112	331184	432
4112	331382	432
4112	332971	432
4112	332972	432
4112	333527	432
4112	333530	432
112657	789	227
112657	1475	227
112657	2378	227
112657	3234	227
112657	3626	227
112657	4264	227
2067	32182	342
2067	82603	342
2067	82605	342
2067	107681	342
2067	137088	342
2067	143917	342
2067	143919	342
2067	158833	342
2067	183335	342
2067	200553	342
2067	213882	342
2067	213884	342
2067	219558	342
2067	219559	342
2067	219564	342
2067	219565	342
2067	274485	342
2067	301429	342
2067	301431	342
2067	316659	342
243733	589	179
243733	653	179
243733	2329	179
243733	2470	179
243733	2766	179
243733	4735	179
73750	1041	129
73750	1056	129
73750	1148	129
73750	1243	129
73750	2009	129
73750	2274	129
73750	3932	129
256023	789	103
