FromNodeId	ToNodeId	Cluster
71499	1	491
71499	1507	491
1	71500	332
1	152613	332
1	152614	332
1	152615	332
1	153513	332
1	153514	332
71500	1507	334
153514	1507	91
2990	5	88
2990	20121	88
2990	33021	88
2990	49548	88
2990	49549	88
2990	53894	88
2990	103745	88
2990	104825	88
2990	242014	88
2990	245040	88
2990	283805	88
2990	285414	88
5	2991	405
5	2992	405
5	2993	405
5	2994	405
5	2995	405
5	3408	405
2991	17807	220
2991	88221	220
2991	112110	220
2991	115986	220
2991	190998	220
2991	203879	220
2991	209643	220
2991	271819	220
2991	271831	220
2991	295947	220
2992	181815	344
2992	204566	344
2992	215167	344
2992	275097	344
2992	275098	344
2992	276904	344
2992	276905	344
2992	276906	344
2992	276907	344
2993	69891	128
2993	252198	128
2993	252199	128
2993	261580	128
2993	271233	128
2993	271234	128
2993	271235	128
2993	280795	128
2993	280796	128
2994	27731	5
2994	66486	5
2994	173223	5
2994	199517	5
2994	199518	5
2994	204829	5
2994	209749	5
2994	231233	5
2994	231234	5
2995	207319	382
2995	235474	382
2995	235475	382
2995	235476	382
2995	253145	382
2995	255597	382
2995	262650	382
2995	262651	382
42503	6	335
42503	4868	335
6	42505	428
6	42507	428
6	69156	428
6	127289	428
6	246521	428
6	251903	428
6	251904	428
6	3408	428
42507	4398	234
42507	4791	234
42507	4868	234
69156	4791	85
69156	4868	85
127289	4791	246
246521	4791	306
50413	7	137
50413	309	137
50413	2334	137
50413	4357	137
7	103634	17
7	106133	17
7	233540	17
7	252547	17
7	275493	17
7	275494	17
7	3408	17
103634	2092	309
106133	4357	113
78051	8	85
8	78052	100
8	78832	100
8	78833	100
8	99307	100
8	103920	100
99307	2736	475
31897	9	47
9	42710	353
9	88489	353
9	98844	353
9	101320	353
9	118845	353
9	168887	353
9	171334	353
9	173930	353
9	175276	353
9	182297	353
9	195256	353
9	221656	353
9	221657	353
9	230827	353
9	232490	353
9	239482	353
9	246580	353
9	270862	353
9	281603	353
9	281604	353
9	292752	353
9	3408	353
26140	10	124
26140	2703	124
10	38135	125
10	51664	125
10	69973	125
10	195738	125
10	283948	125
10	283949	125
10	298434	125
69973	2394	404
165305	11	232
165305	1669	232
11	175212	196
11	202586	196
11	211983	196
11	211984	196
11	211985	196
11	3408	196
175212	1669	76
80437	12	294
80437	1677	294
12	108969	158
12	115418	158
12	118451	158
12	190081	158
12	196795	158
12	196796	158
12	209989	158
12	3408	158
108969	1677	499
115418	1677	449
118451	1677	183
196795	1677	400
196796	1677	195
37733	13	445
13	190677	10
13	190678	10
13	192859	10
13	206904	10
13	207565	10
13	3408	10
17494	14	312
14	19228	382
14	32659	382
14	42691	382
14	65768	382
14	65769	382
14	65770	382
14	65771	382
14	65774	382
14	65775	382
14	65776	382
14	66723	382
14	66724	382
14	3408	382
14	4791	382
14	4973	382
123435	15	264
123435	2391	264
123435	2499	264
123435	4057	264
15	220095	186
15	220096	186
15	240541	186
15	240543	186
15	274338	186
15	274339	186
15	4734	186
220096	2391	161
220096	2499	161
220096	4057	161
240541	2391	300
240541	2499	300
240541	4057	300
240543	2391	225
240543	2499	225
240543	4057	225
274338	2499	364
274339	2499	161
113407	16	339
113407	2198	339
113407	3274	339
113407	3565	339
16	271086	168
16	271087	168
16	300126	168
16	300127	168
16	300128	168
4270	17	406
4270	7124	406
4270	117552	406
4270	117553	406
4270	125233	406
4270	125234	406
4270	128558	406
4270	130281	406
4270	130282	406
4270	142348	406
17	219912	115
17	219913	115
17	219914	115
17	230520	115
17	233661	115
49765	18	450
18	52742	39
18	55774	39
18	55780	39
18	66628	39
18	66629	39
18	3408	39
66080	20	166
66080	1304	166
20	166395	172
20	237540	172
20	237541	172
20	237542	172
20	241163	172
20	260729	172
20	2632	172
20	3408	172
1548	21	328
1548	32135	328
1548	171884	328
1548	171885	328
1548	182455	328
1548	182493	328
1548	182494	328
1548	182495	328
1548	182496	328
21	11869	95
21	51755	95
21	90137	95
21	99513	95
21	144311	95
21	174985	95
21	195777	95
21	3408	95
90137	3460	139
99513	4528	449
195777	4973	324
65673	22	92
65673	42	92
22	106270	476
22	239791	476
22	260671	476
22	260672	476
22	299960	476
22	3408	476
239791	42	37
19615	24	437
24	55634	54
24	136744	54
24	136745	54
24	136746	54
24	218307	54
24	243190	54
24	260827	54
24	315648	54
24	3408	54
12324	25	146
12324	1226	146
12324	2394	146
12324	3935	146
25	33962	1
25	40013	1
25	51706	1
25	51707	1
25	51708	1
25	51709	1
25	54236	1
25	3408	1
30475	26	487
26	122335	212
26	147093	212
26	237986	212
