49686	89931
28881	0	43
28881	2212	43
28881	2217	43
0	45454	448
0	45455	448
45337	1	375
45337	145	375
1	45338	210
1	45340	210
45338	145	463
45338	146	463
45340	145	289
45340	146	289
25152	2	230
2	25153	337
2	25154	337
2	2213	337
9183	3	450
9183	55	450
3	19702	391
3	43967	391
19702	55	160
43967	55	115
41386	4	182
41386	2207	182
4	47232	26
4	47233	26
47232	2207	495
47233	2207	430
35191	5	189
5	36809	477
5	36810	477
5	2224	477
5	2225	477
25001	6	219
6	34439	487
6	34440	487
6	2213	487
6	2224	487
6	2225	487
34438	7	499
7	48743	226
7	48744	226
7	2213	226
7	2224	226
7	2225	226
15157	8	179
8	27941	316
8	27949	316
8	2213	316
8	2224	316
8	2225	316
17947	9	424
9	17948	114
9	34804	114
9	2213	114
9	2225	114
13031	10	185
10	35864	8
10	35865	8
10	2213	8
11884	11	163
11	11885	80
11	11886	80
11	2213	80
11	2224	80
11	2225	80
6345	12	249
12	15636	16
12	15637	16
12	2213	16
12	2224	16
12	2225	16
26288	13	414
13	26289	425
13	33721	425
13	2213	425
13	2224	425
13	2225	425
39470	14	196
14	39471	273
14	39472	273
14	2213	273
14	2224	273
14	2225	273
22094	15	53
15	48825	72
15	48826	72
15	2213	72
15	2224	72
15	2225	72
30917	16	193
16	48416	357
16	48417	357
16	2213	357
16	2224	357
31129	17	483
17	31130	266
17	32723	266
17	2213	266
28482	18	498
18	28483	187
18	28484	187
18	2213	187
18	2224	187
18	2225	187
11428	19	3
19	23908	115
19	48848	115
19	2224	115
26892	20	190
20	48431	50
20	48432	50
20	1196	50
20	1780	50
20	2174	50
20	2213	50
20	2224	50
20	2225	50
18621	21	425
21	40585	427
21	40586	427
21	2213	427
21	2224	427
21	2225	427
8860	22	56
22	8863	118
22	8864	118
22	2213	118
22	2224	118
22	2225	118
14030	23	290
23	15881	121
23	31578	121
23	2213	121
23	2224	121
23	2225	121
47206	24	139
24	47377	128
24	47378	128
24	2224	128
24	2225	128
18231	25	176
25	18232	307
25	35482	307
25	2213	307
25	2224	307
25	2225	307
