5000	7875
2748	660	296
2749	660	280
4904	219	209
4497	40	287
4498	40	94
2750	660	125
4499	40	20
4909	219	274
4905	219	180
4906	219	57
4907	219	48
2945	855	17
2945	867	17
4908	219	149
2751	660	288
0	3004	186
0	3005	186
0	3006	186
0	930	186
2946	855	308
2946	867	308
2947	855	102
2947	867	102
1906	900	229
1906	924	229
1907	616	263
1907	777	263
1907	778	263
1907	868	263
1907	872	263
3498	661	232
3498	663	232
3498	849	232
3498	873	232
1	937	48
1	938	48
2	2996	180
2	3447	180
2	3448	180
2	930	180
2	937	180
2	938	180
3	3446	275
3	4859	275
3	4860	275
3	930	275
3	937	275
3	938	275
4	2710	184
4	3160	184
4	3165	184
4	930	184
4	937	184
4	938	184
5	2817	265
5	2818	265
5	3473	265
5	930	265
5	938	265
6	2273	223
6	3575	223
6	3576	223
6	930	223
7	2251	84
7	2252	84
7	2253	84
7	930	84
7	937	84
7	938	84
8	1966	359
8	2727	359
8	2728	359
8	930	359
8	937	359
8	938	359
9	3070	158
9	3071	158
9	3396	158
9	930	158
9	937	158
9	938	158
10	3778	148
10	3779	148
10	3780	148
10	930	148
10	937	148
10	938	148
11	2919	194
11	4863	194
11	4864	194
11	930	194
11	937	194
11	938	194
12	3280	365
12	4805	365
12	4806	365
12	930	365
12	937	365
13	3305	266
13	3306	266
13	3372	266
13	930	266
14	3211	346
14	3212	346
14	3213	346
14	930	346
14	937	346
14	938	346
15	937	354
16	3111	383
16	4811	383
16	4812	383
16	668	383
16	850	383
16	908	383
16	930	383
16	937	383
16	938	383
17	2834	172
17	3935	172
17	3936	172
17	930	172
17	937	172
17	938	172
18	2093	132
18	2094	132
18	2095	132
18	930	132
18	937	132
18	938	132
19	2662	336
19	2731	336
19	3321	336
19	930	336
19	937	336
19	938	336
20	937	232
20	938	232
21	2825	164
21	2826	164
21	3519	164
21	930	164
21	937	164
21	938	164
22	2117	131
22	4978	131
22	4979	131
22	930	131
22	937	131
22	938	131
23	3350	276
23	4870	276
23	4871	276
23	930	276
23	937	276
23	938	276
4998	937	355
24	937	221
24	938	221
25	2117	182
25	4978	182
25	4979	182
25	930	182
25	937	182
25	938	182
26	937	139
26	938	139
27	937	268
28	2204	125
28	3771	125
28	3772	125
28	930	125
28	937	125
28	938	125
29	2117	82
29	4978	82
29	4979	82
29	930	82
29	937	82
29	938	82
30	2769	122
30	4819	122
30	4820	122
30	930	122
30	937	122
