5000	39778
400	1	154
1	400	47
400	6	154
6	400	374
400	24	154
24	400	362
400	45	154
45	400	189
400	47	154
47	400	68
400	58	154
58	400	60
400	64	154
64	400	196
400	65	154
65	400	382
400	66	154
66	400	152
400	74	154
74	400	382
400	79	154
79	400	172
400	81	154
81	400	8
400	87	154
87	400	306
400	92	154
92	400	176
400	96	154
96	400	32
400	105	154
105	400	71
400	115	154
115	400	147
400	118	154
118	400	167
400	129	154
129	400	128
400	132	154
132	400	91
400	144	154
144	400	308
400	146	154
146	400	138
400	147	154
147	400	319
400	149	154
149	400	223
400	155	154
155	400	296
400	160	154
160	400	248
400	170	154
170	400	67
400	175	154
175	400	54
400	179	154
179	400	291
400	180	154
180	400	107
400	191	154
191	400	320
400	194	154
194	400	60
400	205	154
205	400	170
400	206	154
206	400	118
400	211	154
211	400	325
400	214	154
214	400	64
400	223	154
223	400	244
400	260	154
260	400	337
400	292	154
292	400	77
400	298	154
298	400	232
400	316	154
316	400	344
400	318	154
318	400	363
400	321	154
321	400	242
400	353	154
353	400	48
400	361	154
361	400	126
400	371	154
371	400	97
400	391	154
391	400	129
400	392	154
392	400	379
400	393	154
393	400	381
400	394	154
394	400	77
400	395	154
395	400	299
400	396	154
396	400	141
400	397	154
397	400	138
400	398	154
398	400	323
400	399	154
399	400	323
400	400	154
400	400	386
400	401	154
401	400	197
400	402	154
402	400	63
400	403	154
403	400	332
400	404	154
404	400	144
400	405	154
405	400	215
400	406	154
406	400	220
400	407	154
407	400	199
400	408	154
408	400	6
400	409	154
409	400	27
400	410	154
410	400	65
400	411	154
411	400	125
400	412	154
412	400	106
400	985	154
985	400	137
1	10	47
10	1	69
1	15	47
15	1	124
1	18	47
18	1	2
1	20	47
20	1	279
1	22	47
22	1	326
1	24	47
24	1	362
1	25	47
25	1	123
1	28	47
28	1	247
1	33	47
33	1	294
1	35	47
35	1	28
1	37	47
37	1	124
1	38	47
38	1	231
1	42	47
42	1	249
1	45	47
45	1	189
1	47	47
47	1	68
1	48	47
48	1	202
1	51	47
51	1	141
1	58	47
58	1	60
1	60	47
60	1	14
1	63	47
63	1	6
1	64	47
64	1	196
1	65	47
65	1	382
1	68	47
68	1	298
1	71	47
71	1	390
1	74	47
74	1	382
1	75	47
75	1	163
1	81	47
81	1	8
1	85	47
85	1	150
1	86	47
86	1	173
1	87	47
87	1	306
1	92	47
92	1	176
1	93	47
93	1	83
1	94	47
94	1	19
1	96	47
96	1	32
1	98	47
98	1	58
1	101	47
101	1	204
1	105	47
105	1	71
1	106	47
106	1	41
1	109	47
109	1	328
1	115	47
115	1	147
1	116	47
116	1	36
1	118	47
118	1	167
1	121	47
121	1	206
1	123	47
123	1	63
1	125	47
125	1	379
1	132	47
132	1	91
1	134	47
134	1	396
1	137	47
137	1	330
1	140	47
140	1	276
1	142	47
142	1	345
1	143	47
143	1	182
1	145	47
145	1	226
1	147	47
147	1	319
1	151	47
151	1	368
1	152	47
152	1	106
1	153	47
153	1	307
1	154	47
154	1	144
1	155	47
155	1	296
1	158	47
158	1	32
1	160	47
160	1	248
1	163	47
163	1	308
1	170	47
170	1	67
