5000	145025
400	4	92
4	400	275
400	5	92
5	400	251
400	7	92
7	400	111
400	8	92
8	400	217
400	9	92
9	400	114
400	10	92
10	400	75
400	11	92
11	400	216
400	12	92
12	400	313
400	13	92
13	400	145
400	14	92
14	400	133
400	15	92
15	400	275
400	16	92
16	400	274
400	17	92
17	400	390
400	18	92
18	400	336
400	19	92
19	400	151
400	20	92
20	400	379
400	21	92
21	400	249
400	22	92
22	400	352
400	23	92
23	400	258
400	24	92
24	400	44
400	25	92
25	400	297
400	26	92
26	400	174
400	27	92
27	400	97
400	28	92
28	400	161
400	29	92
29	400	395
400	30	92
30	400	126
400	31	92
31	400	304
400	32	92
32	400	244
400	33	92
33	400	384
400	34	92
34	400	264
400	35	92
35	400	379
400	36	92
36	400	383
400	37	92
37	400	103
400	38	92
38	400	3
400	39	92
39	400	240
400	40	92
40	400	208
400	41	92
41	400	329
400	42	92
42	400	22
400	43	92
43	400	102
400	44	92
44	400	57
400	45	92
45	400	295
400	46	92
46	400	239
400	47	92
47	400	372
400	48	92
48	400	151
400	49	92
49	400	11
400	50	92
50	400	168
400	51	92
51	400	189
400	52	92
52	400	150
400	53	92
53	400	69
400	54	92
54	400	225
400	55	92
55	400	173
400	56	92
56	400	198
400	57	92
57	400	98
400	58	92
58	400	172
400	59	92
59	400	50
400	60	92
60	400	298
400	61	92
61	400	117
400	62	92
62	400	14
400	63	92
63	400	171
400	64	92
64	400	340
400	65	92
65	400	183
400	66	92
66	400	208
400	67	92
67	400	119
400	68	92
68	400	300
400	69	92
69	400	190
400	70	92
70	400	125
400	71	92
71	400	287
400	72	92
72	400	243
400	73	92
73	400	398
400	74	92
74	400	223
400	75	92
75	400	169
400	76	92
76	400	82
400	77	92
77	400	7
400	78	92
78	400	132
400	79	92
79	400	90
400	80	92
80	400	220
400	81	92
81	400	78
400	82	92
82	400	235
400	83	92
83	400	364
400	84	92
84	400	367
400	85	92
85	400	370
400	86	92
86	400	30
400	87	92
87	400	7
400	88	92
88	400	73
400	89	92
89	400	109
400	90	92
90	400	56
400	91	92
91	400	376
400	92	92
92	400	129
400	93	92
93	400	316
400	94	92
94	400	16
400	95	92
95	400	213
400	96	92
96	400	194
400	97	92
97	400	276
400	98	92
98	400	143
400	99	92
99	400	40
400	100	92
100	400	206
400	101	92
101	400	391
400	102	92
102	400	224
400	103	92
103	400	324
400	104	92
104	400	15
400	105	92
105	400	167
400	106	92
106	400	152
400	107	92
107	400	279
400	108	92
108	400	118
400	109	92
109	400	286
400	110	92
110	400	270
400	111	92
111	400	297
400	112	92
112	400	31
400	113	92
113	400	355
400	114	92
114	400	241
400	115	92
115	400	103
400	116	92
116	400	368
400	117	92
117	400	245
400	118	92
118	400	146
400	119	92
119	400	19
400	120	92
120	400	182
400	121	92
121	400	22
400	122	92
122	400	243
400	123	92
123	400	390
400	124	92
124	400	90
400	125	92
125	400	96
400	126	92
126	400	201
400	127	92
127	400	74
400	128	92
128	400	308
400	580	92
580	400	148
400	138	92
138	400	312
400	147	92
147	400	360
400	153	92
153	400	396
400	159	92
159	400	176
400	165	92
165	400	84
400	168	92
168	400	375
400	170	92
170	400	326
400	174	92
174	400	254
400	176	92
176	400	153
400	180	92
180	400	126
400	181	92
181	400	211
400	183	92
183	400	132
400	184	92
184	400	289
400	185	92
185	400	358
400	199	92
199	400	295
400	215	92
215	400	113
400	226	92
226	400	106
400	228	92
228	400	395
400	230	92
230	400	338
400	259	92
259	400	88
400	270	92
270	400	294
400	277	92
277	400	298
400	315	92
315	400	61
400	324	92
324	400	213
400	328	92
328	400	90
400	329	92
329	400	297
400	332	92
332	400	371
400	334	92
334	400	75
400	338	92
338	400	337
400	340	92
340	400	301
400	348	92
348	400	386
400	354	92
354	400	132
400	400	92
400	400	45
400	405	92
405	400	325
400	420	92
420	400	368
400	469	92
469	400	84
400	513	92
513	400	5
400	558	92
558	400	123
400	1008	92
1008	400	133
400	1017	92
1017	400	381
400	1025	92
1025	400	113
400	1047	92
1047	400	66
400	1265	92
1265	400	244
400	1839	92
1839	400	276
400	1856	92
1856	400	30
400	1993	92
1993	400	258
400	2447	92
2447	400	174
400	135	92
135	400	27
400	162	92
162	400	231
400	499	92
499	400	232
400	506	92
506	400	396
400	175	92
175	400	207
400	193	92
193	400	129
400	196	92
196	400	353
400	410	92
410	400	185
400	484	92
484	400	135
400	578	92
578	400	159
400	231	92
231	400	122
400	609	92
609	400	134
400	146	92
146	400	193
400	137	92
137	400	273
400	143	92
143	400	41
400	232	92
232	400	107
400	298	92
298	400	250
400	440	92
440	400	291
400	822	92
822	400	342
400	160	92
160	400	266
400	206	92
206	400	331
400	453	92
453	400	352
400	481	92
481	400	231
400	880	92
880	400	245
400	136	92
136	400	363
400	190	92
190	400	112
400	475	92
475	400	48
400	893	92
893	400	242
400	1125	92
1125	400	35
400	129	92
129	400	46
400	189	92
189	400	14
400	154	92
154	400	10
400	157	92
157	400	182
400	182	92
182	400	163
400	218	92
218	400	132
400	761	92
761	400	167
400	990	92
990	400	63
400	1039	92
1039	400	285
400	1260	92
1260	400	107
400	1268	92
1268	400	386
400	1274	92
1274	400	362
400	1281	92
1281	400	135
400	1314	92
1314	400	168
400	1375	92
1375	400	389
400	1379	92
1379	400	19
400	131	92
131	400	211
400	133	92
133	400	370
400	134	92
134	400	67
400	140	92
140	400	176
400	145	92
145	400	338
400	149	92
149	400	31
400	150	92
150	400	233
400	164	92
164	400	135
400	207	92
207	400	62
400	223	92
223	400	16
400	1293	92
1293	400	65
400	1426	92
1426	400	169
400	142	92
142	400	395
400	151	92
151	400	77
400	158	92
158	400	358
400	172	92
172	400	82
400	217	92
217	400	83
400	220	92
220	400	351
400	221	92
221	400	82
400	374	92
374	400	358
400	394	92
394	400	319
400	728	92
728	400	231
400	214	92
214	400	321
400	426	92
426	400	371
400	461	92
461	400	76
400	1499	92
1499	400	129
400	1505	92
1505	400	250
400	1509	92
1509	400	387
400	167	92
167	400	58
400	227	92
227	400	231
400	740	92
740	400	144
400	991	92
991	400	386
400	1409	92
1409	400	99
400	1464	92
1464	400	67
400	1487	92
1487	400	217
400	1532	92
1532	400	160
400	1006	92
1006	400	92
400	1071	92
1071	400	103
400	1331	92
1331	400	120
400	1353	92
1353	400	203
400	1546	92
1546	400	319
400	1558	92
1558	400	183
400	1563	92
1563	400	106
400	229	92
229	400	127
400	809	92
809	400	252
400	881	92
881	400	128
400	1402	92
1402	400	321
400	1618	92
1618	400	268
400	2409	92
2409	400	236
400	169	92
169	400	287
400	187	92
187	400	379
400	202	92
202	400	330
400	209	92
209	400	60
400	1063	92
1063	400	365
400	1669	92
1669	400	225
400	1714	92
1714	400	261
400	1945	92
1945	400	66
400	191	92
191	400	143
400	171	92
171	400	33
400	179	92
179	400	65
400	443	92
443	400	103
400	460	92
460	400	3
400	493	92
493	400	6
400	591	92
591	400	232
400	767	92
767	400	87
400	840	92
840	400	32
400	972	92
972	400	169
400	1467	92
1467	400	24
400	1695	92
1695	400	93
400	1744	92
1744	400	357
400	1895	92
1895	400	137
400	1972	92
1972	400	125
400	1974	92
1974	400	326
400	2054	92
2054	400	6
400	2352	92
2352	400	259
400	2868	92
2868	400	329
400	197	92
197	400	113
400	219	92
219	400	250
400	235	92
235	400	267
400	454	92
454	400	24
400	590	92
590	400	168
400	849	92
849	400	192
400	1472	92
1472	400	278
400	1674	92
1674	400	154
400	1690	92
1690	400	319
400	2112	92
2112	400	346
400	2356	92
2356	400	78
400	2445	92
2445	400	329
400	2656	92
2656	400	360
400	2710	92
2710	400	302
400	556	92
556	400	134
400	198	92
198	400	59
400	1723	92
1723	400	156
400	1303	92
1303	400	118
400	178	92
178	400	237
400	144	92
144	400	13
400	458	92
458	400	383
400	852	92
852	400	116
400	210	92
210	400	137
400	382	92
382	400	173
400	847	92
847	400	372
400	1821	92
1821	400	59
400	132	92
132	400	249
400	155	92
155	400	107
400	492	92
492	400	10
400	1090	92
1090	400	354
400	1200	92
1200	400	362
400	1408	92
1408	400	37
400	1602	92
1602	400	299
400	1614	92
1614	400	201
400	1777	92
1777	400	315
400	1841	92
1841	400	312
400	1848	92
1848	400	97
400	2113	92
2113	400	262
400	2120	92
2120	400	109
400	2176	92
2176	400	362
400	1403	92
1403	400	157
400	1822	92
1822	400	245
400	1893	92
1893	400	342
400	1515	92
1515	400	366
400	213	92
213	400	249
400	1016	92
1016	400	115
400	1045	92
1045	400	265
400	2083	92
2083	400	295
400	1347	92
1347	400	225
400	997	92
997	400	136
400	472	92
472	400	38
400	517	92
517	400	374
400	1066	92
1066	400	107
400	234	92
234	400	64
400	468	92
468	400	314
400	1752	92
1752	400	257
400	1802	92
1802	400	294
400	2360	92
2360	400	350
400	2415	92
2415	400	348
400	727	92
727	400	68
400	1118	92
1118	400	249
400	1165	92
1165	400	9
400	1585	92
1585	400	299
400	2384	92
2384	400	399
400	596	92
596	400	318
400	784	92
784	400	357
400	1776	92
1776	400	301
400	186	92
186	400	40
400	211	92
211	400	45
