5000	30447
1814	126	346
126	1814	195
1814	2354	346
2354	1814	399
1814	1604	346
1604	1814	120
1814	605	346
605	1814	317
1814	2658	346
2658	1814	226
1814	987	346
987	1814	370
1814	1040	346
1040	1814	139
1814	3527	346
3527	1814	46
1814	949	346
949	1814	297
1814	986	346
986	1814	294
1814	3395	346
3395	1814	57
1814	2128	346
2128	1814	335
1814	3257	346
3257	1814	308
4448	1719	177
1719	4448	93
4448	3093	177
3093	4448	365
4448	34	177
34	4448	130
4448	129	177
129	4448	196
4448	595	177
595	4448	276
4448	2354	177
2354	4448	399
4448	2551	177
2551	4448	142
4448	3019	177
3019	4448	200
4448	3313	177
3313	4448	241
4448	3817	177
3817	4448	179
4448	4493	177
4493	4448	21
4448	4853	177
4853	4448	91
3399	4207	366
4207	3399	203
3399	45	366
45	3399	329
3399	3948	366
3948	3399	262
3399	4624	366
4624	3399	393
3581	3436	2
3436	3581	270
3581	2354	2
2354	3581	399
4449	1966	77
1966	4449	229
4449	4207	77
4207	4449	203
4449	2423	77
2423	4449	288
4449	232	77
232	4449	89
4449	1071	77
1071	4449	240
4449	2189	77
2189	4449	15
4449	447	77
447	4449	63
4449	990	77
990	4449	62
4449	3264	77
3264	4449	81
4449	1305	77
1305	4449	131
4449	4819	77
4819	4449	184
4449	1595	77
1595	4449	116
4449	2098	77
2098	4449	338
4449	2142	77
2142	4449	233
4113	1337	334
1337	4113	393
4113	915	334
915	4113	9
4113	938	334
938	4113	237
4113	978	334
978	4113	294
4113	1028	334
1028	4113	9
4113	1120	334
1120	4113	15
4113	1558	334
1558	4113	241
4113	2458	334
2458	4113	64
4113	3370	334
3370	4113	134
4113	3879	334
3879	4113	98
4113	3946	334
3946	4113	148
4113	588	334
588	4113	180
4113	3527	334
3527	4113	46
4113	4405	334
4405	4113	212
4113	4985	334
4985	4113	72
4827	902	47
902	4827	240
4827	380	47
380	4827	86
4827	1679	47
1679	4827	383
4827	1824	47
1824	4827	365
4827	2107	47
2107	4827	259
4827	2228	47
2228	4827	37
4827	2354	47
2354	4827	399
4827	2382	47
2382	4827	80
4827	3166	47
3166	4827	291
4827	4098	47
4098	4827	344
4827	4135	47
4135	4827	255
4827	4255	47
4255	4827	383
4827	4652	47
4652	4827	132
4827	4768	47
4768	4827	304
193	212	151
212	193	13
193	232	151
232	193	89
193	431	151
431	193	261
193	475	151
475	193	182
193	544	151
544	193	57
193	863	151
863	193	343
193	1011	151
1011	193	70
193	1474	151
1474	193	100
193	1971	151
1971	193	312
193	2279	151
2279	193	208
193	2650	151
2650	193	25
193	2995	151
2995	193	196
193	3206	151
3206	193	387
193	3305	151
3305	193	137
193	3479	151
3479	193	338
193	3849	151
3849	193	280
193	3891	151
3891	193	122
193	4027	151
4027	193	58
193	4062	151
4062	193	252
193	4073	151
4073	193	52
193	4439	151
4439	193	63
193	4464	151
4464	193	67
193	4620	151
4620	193	295
193	3227	151
3227	193	69
2527	1935	16
1935	2527	22
2527	2354	16
2354	2527	399
2527	3377	16
3377	2527	208
2527	4571	16
4571	2527	188
2527	3257	16
3257	2527	308
3582	1885	373
1885	3582	335
3582	3544	373
3544	3582	336
3582	2713	373
2713	3582	261
3582	3632	373
3632	3582	144
3582	4742	373
4742	3582	309
3582	279	373
279	3582	69
3582	1026	373
1026	3582	198
3582	1313	373
1313	3582	88
3582	1423	373
1423	3582	339
3582	2503	373
2503	3582	339
3582	3542	373
3542	3582	149
3582	3577	373
3577	3582	104
3582	4732	373
4732	3582	69
3582	4919	373
4919	3582	13
3582	310	373
310	3582	109
3582	1648	373
1648	3582	62
3582	2027	373
2027	3582	40
3582	3079	373
3079	3582	143
