5000	40118
0	1152	36
1152	0	203
0	2392	36
2392	0	342
0	2830	36
2830	0	30
0	3561	36
3561	0	66
0	3636	36
3636	0	201
0	4328	36
4328	0	344
1	1046	290
1046	1	306
1	2093	290
2093	1	112
1	4082	290
4082	1	361
1	4232	290
4232	1	111
1	4414	290
4414	1	248
2	826	124
826	2	163
2	1046	124
1046	2	306
2	1093	124
1093	2	196
2	1249	124
1249	2	325
2	1260	124
1260	2	99
2	1296	124
1296	2	332
2	1304	124
1304	2	75
2	1335	124
1335	2	54
2	1446	124
1446	2	276
2	1918	124
1918	2	263
2	2093	124
2093	2	112
2	2494	124
2494	2	322
2	2714	124
2714	2	323
2	2737	124
2737	2	105
2	2850	124
2850	2	160
2	3095	124
3095	2	134
2	3348	124
3348	2	338
2	3431	124
3431	2	169
2	3502	124
3502	2	130
2	3542	124
3542	2	311
2	3679	124
3679	2	44
2	3717	124
3717	2	185
2	4036	124
4036	2	200
2	4082	124
4082	2	361
2	4164	124
4164	2	164
2	4183	124
4183	2	287
2	4232	124
4232	2	111
2	4385	124
4385	2	365
2	4414	124
4414	2	248
2	4847	124
4847	2	241
2	4980	124
4980	2	279
2	4696	124
4696	2	244
3	1046	347
1046	3	306
3	2093	347
2093	3	112
3	4082	347
4082	3	361
3	4232	347
4232	3	111
3	4414	347
4414	3	248
3603	1716	377
1716	3603	372
3603	3351	377
3351	3603	141
3603	2673	377
2673	3603	281
3603	2865	377
2865	3603	100
3603	4292	377
4292	3603	77
3603	4544	377
4544	3603	161
3603	4259	377
4259	3603	239
4	972	337
972	4	327
4	2041	337
2041	4	83
4	2409	337
2409	4	231
4	2716	337
2716	4	360
4	4082	337
4082	4	361
4	4232	337
4232	4	111
1432	2488	83
2488	1432	301
1432	2830	83
2830	1432	30
3051	306	192
306	3051	261
3051	4943	192
4943	3051	20
3051	4637	192
4637	3051	7
3051	1011	192
1011	3051	225
3051	1025	192
1025	3051	17
3051	1046	192
1046	3051	306
3051	1376	192
1376	3051	269
3051	2091	192
2091	3051	153
3051	2093	192
2093	3051	112
3051	2399	192
2399	3051	131
3051	3751	192
3751	3051	214
3051	4082	192
4082	3051	361
3051	4232	192
4232	3051	111
3051	4414	192
4414	3051	248
3051	4650	192
4650	3051	23
5	1046	220
1046	5	306
5	2093	220
2093	5	112
5	4082	220
4082	5	361
5	4232	220
4232	5	111
5	4414	220
4414	5	248
5	14	220
14	5	18
5	4460	220
4460	5	42
5	4006	220
4006	5	59
5	3781	220
3781	5	169
5	3060	220
3060	5	78
5	2102	220
2102	5	110
5	2143	220
2143	5	347
5	1541	220
1541	5	377
5	1115	220
1115	5	8
5	1054	220
1054	5	61
5	625	220
625	5	133
5	458	220
458	5	206
5	472	220
472	5	212
6	51	225
51	6	35
6	628	225
628	6	55
6	759	225
759	6	170
6	1046	225
1046	6	306
6	1078	225
1078	6	50
6	1174	225
1174	6	154
6	1385	225
1385	6	345
6	1519	225
1519	6	59
